TQ,DPQ,C,OU,DI,DFT,DFO,RD
2,3,4,0,25,17,2,8
2,2,3,0,36,18,5,19
2,2,4,1,19,8,4,11
3,3,3,4,13,3,12,11
4,0,0,4,25,21,2,3
1,1,2,3,20,2,7,16
4,2,2,4,28,20,8,9
1,2,3,0,20,5,2,13
3,3,2,1,16,12,2,4
1,1,1,0,27,3,6,23
3,1,4,3,24,7,1,16
3,1,2,2,32,20,1,11
4,1,2,2,7,8,0,0
3,1,3,3,28,9,8,19
1,1,1,4,17,1,14,17
4,4,4,1,24,22,0,0
2,3,0,2,4,0,1,3
0,3,3,3,17,5,7,12
0,3,2,2,8,2,1,6
2,1,0,0,6,1,1,3
4,1,4,1,23,10,1,13
1,0,0,1,18,2,3,15
3,2,4,1,22,19,3,4
2,1,3,4,16,3,11,14
1,2,1,1,12,1,2,11
1,3,0,4,8,0,5,7
3,0,1,2,22,5,2,16
3,0,4,2,70,28,10,41
0,1,3,0,54,9,6,44
3,2,4,3,13,5,2,8
0,2,2,3,9,1,4,8
2,3,2,3,19,5,7,13
2,0,0,2,12,1,5,11
1,1,2,3,43,8,14,37
3,2,2,3,31,18,7,13
3,3,0,0,7,4,5,1
4,3,1,1,9,14,1,1
2,3,3,2,12,4,5,8
2,0,0,3,11,3,1,8
2,3,2,3,12,2,0,9
3,1,3,4,28,10,14,17
1,1,1,4,17,3,9,13
4,4,3,4,28,26,3,2
1,1,0,3,8,0,5,6
3,2,2,4,17,8,7,9
3,2,1,3,4,3,2,1
1,1,4,3,54,15,21,39
1,2,3,0,34,8,1,24
3,1,2,1,46,24,5,20
2,2,1,2,7,1,4,5
0,2,4,0,32,2,6,29
1,4,3,3,13,1,2,11
3,1,3,4,34,11,21,22
3,4,0,2,1,1,2,1
0,4,2,3,6,0,3,4
3,4,4,3,20,4,4,15
2,0,1,3,33,5,12,29
1,0,4,2,83,30,17,54
0,2,1,0,7,0,4,9
0,3,2,3,15,1,6,13
1,0,0,1,3,1,3,1
4,1,0,2,14,5,3,10
4,1,0,2,7,11,1,0
4,1,0,2,13,13,1,1
2,4,4,2,10,2,2,8
2,3,2,0,4,1,2,0
1,2,3,2,36,9,7,28
4,4,4,3,15,11,4,4
3,1,2,3,31,10,10,21
0,3,1,3,14,4,7,11
2,4,2,2,5,1,3,3
4,0,3,4,68,61,6,7
1,4,2,2,2,1,0,0
2,2,1,0,10,4,2,4
0,4,0,2,2,0,3,1
1,3,2,2,11,0,5,12
0,1,2,0,12,3,0,9
4,2,3,1,29,26,2,2
4,4,4,2,9,2,2,6
4,0,0,3,23,18,1,4
3,3,1,0,8,4,3,3
1,1,3,4,18,2,12,16
1,3,4,4,8,2,6,7
1,0,3,0,52,14,5,39
3,0,1,4,29,14,13,14
3,2,4,3,11,6,4,5
2,1,0,0,12,6,2,4
1,1,1,0,16,2,6,13
3,4,0,0,5,3,0,1
3,2,1,1,12,3,1,9
4,1,1,3,17,11,4,5
3,2,2,0,9,1,4,7
2,1,2,1,35,12,3,23
2,0,0,1,24,15,4,8
2,2,3,2,21,3,7,18
0,0,1,2,11,3,2,7
3,2,0,4,1,0,1,0
1,0,0,0,12,2,1,8
3,0,0,2,21,13,2,7
2,1,0,1,11,1,2,9
3,3,4,1,16,8,2,9
4,0,1,4,51,45,2,5
4,4,0,3,2,1,2,0
4,3,4,1,12,5,3,7
3,3,2,1,11,0,2,10
3,4,0,2,4,1,0,2
1,4,4,4,13,3,11,11
1,4,4,3,30,9,11,22
4,1,2,2,20,14,4,5
4,2,2,2,19,25,2,0
1,1,3,3,25,4,11,21
0,4,1,1,10,1,4,10
4,3,0,0,5,6,5,1
4,2,2,0,22,10,1,11
2,4,3,2,18,8,2,10
1,1,1,1,8,3,3,6
1,3,3,3,24,3,7,21
1,2,3,4,25,4,17,21
2,1,0,3,14,7,3,6
0,0,3,2,63,5,16,57
0,3,2,4,14,3,13,11
1,1,3,0,26,12,1,14
3,4,3,4,8,6,1,3
3,4,3,2,16,9,1,5
2,2,3,4,34,5,23,29
1,4,2,2,4,1,0,2
1,0,0,4,25,5,17,19
4,0,0,0,6,3,2,2
2,4,0,4,1,1,1,3
1,4,2,1,13,2,2,12
4,4,4,2,43,39,2,4
2,3,4,0,29,11,5,18
3,2,0,2,7,1,0,7
4,0,3,3,70,52,12,18
3,0,1,4,21,18,4,5
0,0,0,0,27,5,1,21
2,0,1,1,23,4,5,19
0,0,4,3,80,15,29,64
4,0,2,0,53,47,1,4
0,3,2,3,19,1,7,18
2,4,2,2,13,4,8,10
0,0,1,0,39,8,4,30
4,2,3,3,40,34,2,7
1,2,2,0,24,7,2,17
3,0,4,3,72,24,23,48
0,3,2,4,9,2,4,6
1,2,3,4,12,3,2,6
0,0,0,0,9,1,0,8
3,1,2,2,18,8,1,11
0,0,2,4,46,12,29,34
2,3,0,3,3,0,3,2
2,0,1,1,33,9,5,26
2,1,0,1,9,0,1,6
1,4,2,3,10,3,6,5
0,3,2,1,16,2,3,13
3,4,1,0,8,0,2,6
4,2,0,2,4,1,1,3
3,1,0,3,16,5,5,11
2,4,1,3,3,2,3,0
2,1,3,4,48,19,20,27
0,0,1,2,35,8,8,27
4,0,0,4,2,3,2,0
3,4,4,4,10,1,7,9
3,3,0,0,3,2,1,2
2,4,3,4,12,4,5,7
4,2,3,1,10,9,0,0
4,2,0,2,9,12,2,0
4,0,3,2,71,67,1,4
3,1,0,4,7,5,2,1
2,4,2,0,0,0,4,4
0,1,4,3,29,8,8,19
2,2,2,2,8,1,1,6
4,3,1,4,2,1,0,0
2,0,0,0,24,4,5,20
2,4,3,0,13,4,0,10
3,2,4,1,30,10,3,21
0,1,0,3,13,2,5,12
0,3,4,3,23,3,10,20
2,1,4,0,27,10,4,18
1,3,1,4,6,0,3,5
2,2,4,0,21,5,5,14
0,4,4,1,12,2,2,11
1,2,1,2,12,3,2,9
0,3,0,3,4,1,1,2
1,1,3,1,19,5,5,15
3,3,2,4,6,0,3,5
0,3,2,2,14,5,4,8
2,1,2,2,31,3,7,24
3,2,1,0,10,6,2,5
3,2,4,0,27,14,2,13
4,2,2,2,11,10,1,2
0,3,1,1,6,0,3,7
3,1,1,3,13,6,1,6
4,3,2,1,12,13,0,2
0,3,1,3,11,4,4,7
0,2,0,3,3,0,2,1
1,2,2,4,14,1,8,11
3,0,1,0,19,13,3,7
3,0,4,4,76,36,33,41
0,1,1,1,8,1,2,7
4,3,2,1,2,1,2,1
3,3,2,0,10,7,0,3
0,2,3,3,5,2,1,3
3,3,3,4,23,4,16,18
2,1,4,3,23,10,7,13
0,4,1,2,6,1,3,5
0,4,3,2,21,3,2,17
2,1,3,3,27,7,8,18
4,0,0,2,21,6,4,13
0,2,2,0,17,5,2,13
0,3,2,2,8,0,4,9
4,0,1,0,37,38,2,1
1,2,4,2,11,1,2,9
0,0,3,1,54,7,11,46
0,4,1,1,9,1,0,6
4,3,4,2,6,6,3,1
0,3,0,2,4,0,0,5
1,2,3,0,22,4,2,19
0,0,0,2,23,4,9,19
1,3,0,1,6,1,4,5
4,4,4,1,10,8,3,3
1,4,4,3,24,7,6,17
0,2,2,4,9,1,0,7
0,2,0,4,4,1,1,1
0,0,2,2,57,3,17,52
4,2,3,2,6,5,3,0
2,0,2,4,37,13,20,24
0,4,3,0,9,1,6,8
1,4,4,3,10,1,4,9
0,4,1,2,7,1,1,5
4,0,1,4,26,20,9,6
2,0,1,1,24,7,3,16
3,2,0,1,2,1,1,3
2,4,2,2,5,2,4,5
2,2,2,4,3,1,5,2
0,3,2,2,8,1,4,8
0,1,2,4,11,2,11,9
1,2,0,1,5,1,0,3
1,2,4,0,28,8,5,20
2,0,2,0,62,16,6,45
4,3,2,4,11,15,4,1
2,3,1,4,12,4,8,7
3,1,1,3,24,18,3,5
4,2,2,0,18,10,0,6
3,2,2,2,24,12,1,10
4,3,2,2,16,10,2,7
0,3,2,2,4,1,1,4
2,3,0,2,8,2,1,6
0,3,1,1,8,1,1,5
1,3,3,0,2,0,4,2
2,0,1,1,19,10,1,10
4,0,2,0,50,46,1,6
2,2,0,0,6,0,1,6
2,0,4,4,54,15,31,39
2,3,3,3,8,3,1,3
1,0,3,1,49,16,10,32
0,0,2,0,54,6,12,46
3,2,1,4,21,13,5,8
4,1,4,4,17,10,7,6
2,1,1,3,18,6,3,11
3,4,4,0,4,3,1,1
2,3,4,3,13,1,1,11
1,3,3,3,12,2,3,10
0,4,2,2,10,3,3,7
4,0,4,4,81,71,9,10
2,4,1,4,6,2,1,3
1,0,0,0,25,4,5,20
0,4,3,1,19,5,0,12
0,3,1,3,8,2,6,5
1,3,2,4,12,0,10,11
4,4,3,3,32,27,3,4
1,4,2,4,1,0,2,2
3,4,1,3,9,5,1,3
0,2,0,4,3,0,0,1
3,1,1,4,14,7,5,8
1,1,2,4,32,10,20,22
3,4,3,4,8,0,2,6
1,2,4,1,24,4,2,19
1,2,4,2,27,8,5,18
1,1,2,3,19,4,4,14
4,2,2,0,15,11,0,3
0,3,4,0,23,5,4,18
2,0,4,1,80,29,7,52
2,0,2,0,46,14,4,30
0,0,4,1,83,14,14,69
2,3,0,4,6,0,5,5
1,1,2,2,22,2,6,20
0,3,0,3,8,0,3,7
4,2,4,0,12,8,2,2
2,4,3,3,5,1,1,4
1,2,4,1,22,3,5,21
4,0,1,1,39,27,2,12
3,0,3,0,60,20,10,40
2,4,2,1,8,1,0,8
4,2,1,4,8,7,2,0
2,0,4,1,79,20,12,59
3,0,1,0,33,8,1,25
1,3,3,1,10,3,1,7
2,4,3,3,10,4,2,6
1,0,3,0,52,13,6,37
1,4,2,1,8,2,0,6
1,4,1,3,2,1,0,1
2,0,3,1,57,25,9,30
2,2,0,2,8,4,0,2
1,3,4,2,17,6,2,11
2,1,3,4,31,11,15,20
1,1,3,0,15,2,4,14
4,2,4,4,19,23,0,1
4,2,0,0,2,1,2,1
2,4,4,1,8,1,0,7
1,3,1,2,7,1,3,5
1,4,2,3,2,0,1,1
4,3,2,2,5,3,0,3
0,4,3,3,13,2,5,10
2,4,3,2,13,0,1,11
0,0,4,0,61,14,7,47
2,0,4,1,68,27,11,41
0,4,1,1,10,3,0,7
3,2,3,3,25,14,1,10
4,3,2,2,14,12,0,0
2,2,3,0,21,8,3,14
2,4,4,4,10,3,9,7
0,4,1,3,7,1,0,5
0,1,2,4,40,3,31,35
2,2,2,0,14,4,2,9
0,0,2,0,61,4,7,55
2,3,0,2,3,1,2,2
3,2,1,4,15,9,3,4
1,0,0,2,23,7,6,15
2,1,0,4,1,1,2,1
3,0,2,4,50,26,20,22
2,1,4,4,44,28,13,16
4,1,0,1,11,9,5,2
4,0,0,0,12,23,1,1
4,1,3,1,19,16,2,4
4,4,2,4,10,8,1,0
4,0,4,0,83,64,2,18
4,3,2,0,20,16,2,3
2,0,0,3,25,14,4,10
0,3,0,0,2,0,0,2
3,3,2,0,17,2,3,15
4,4,3,0,16,12,1,4
1,4,4,2,29,11,6,18
1,4,4,0,20,3,2,18
4,4,0,1,1,1,3,1
1,0,4,0,79,15,12,64
1,3,2,4,2,0,4,3
1,1,0,1,4,1,3,2
2,1,0,4,18,5,10,13
1,3,4,3,27,5,10,21
4,0,3,1,56,37,6,20
0,0,0,3,23,5,7,18
2,4,4,1,17,5,4,11
3,1,2,2,32,11,5,22
1,4,1,0,1,1,1,1
2,2,0,1,7,3,2,4
4,3,2,4,2,1,0,0
0,4,3,4,13,0,10,12
3,1,0,0,7,1,1,6
0,0,1,3,36,0,15,35
3,2,4,2,21,8,5,12
0,4,2,2,12,3,4,8
1,3,2,4,17,4,10,12
1,0,4,0,74,8,11,65
3,2,1,2,2,2,1,0
0,1,4,3,25,6,10,19
1,3,4,0,34,5,8,29
1,0,0,0,19,8,0,8
0,2,4,4,21,5,6,15
4,0,1,0,24,15,1,10
1,3,2,2,10,2,5,6
4,2,0,3,7,2,3,4
4,3,4,3,18,29,2,2
4,0,2,0,36,26,4,10
2,2,3,3,31,22,1,8
3,0,4,3,72,26,19,47
1,4,0,4,1,1,0,0
0,1,2,4,25,9,10,16
4,4,4,3,6,7,2,1
0,2,4,0,37,3,4,33
0,0,1,0,34,8,6,25
4,3,0,4,1,1,1,0
1,3,4,2,31,2,7,28
4,1,4,0,33,21,1,10
4,2,2,1,6,2,0,4
3,1,4,0,38,8,3,31
4,2,4,1,31,20,5,11
0,1,1,4,7,2,2,5
1,1,4,4,40,6,21,31
3,4,3,2,15,5,2,9
2,1,4,1,32,7,5,26
2,2,2,0,5,1,3,4
1,3,1,2,10,2,2,8
2,3,1,3,10,2,4,7
3,3,1,4,15,10,4,6
3,4,1,2,6,1,3,5
1,2,0,4,5,2,0,1
2,2,1,4,14,4,5,10
2,0,2,1,29,14,4,15
2,4,4,3,12,3,5,7
4,0,0,2,4,1,1,4
1,4,1,3,4,1,3,4
4,0,0,0,13,13,1,0
0,4,0,4,0,0,0,1
4,4,2,4,13,16,3,0
4,4,1,4,6,4,2,1
4,4,2,4,6,6,1,0
3,0,1,3,47,21,10,24
0,2,3,3,19,5,4,11
3,2,2,2,6,3,1,5
3,2,2,4,6,2,6,5
2,0,3,1,51,20,7,32
4,2,4,4,24,21,2,4
0,4,2,2,4,1,1,3
0,4,0,1,7,2,3,3
3,3,3,2,31,20,3,10
0,4,2,3,3,2,2,1
0,0,2,3,27,7,5,19
2,2,3,0,17,2,5,15
2,2,2,4,16,5,7,9
0,2,4,4,28,2,22,24
3,1,0,0,7,3,1,4
3,2,4,3,16,4,3,10
3,0,3,2,56,20,12,34
0,1,2,2,14,1,3,11
4,4,3,4,8,5,3,2
1,0,0,2,32,6,7,25
1,0,1,2,29,4,8,24
0,4,3,1,14,1,1,13
2,0,1,2,30,8,7,21
1,4,0,2,1,0,5,1
3,2,3,4,22,15,3,6
4,1,4,3,59,48,1,8
0,4,4,2,4,1,3,3
0,0,0,4,25,6,14,19
0,1,3,0,26,2,1,24
4,3,1,4,1,0,1,1
2,3,4,4,3,1,2,2
1,3,0,4,8,1,6,7
3,4,3,0,13,7,1,5
2,1,4,4,43,6,28,36
0,2,2,1,13,2,2,12
2,4,0,3,3,1,0,2
2,4,4,3,19,11,6,7
4,2,1,0,3,1,4,1
4,1,0,1,7,0,0,5
2,4,0,1,0,0,0,3
1,1,4,4,25,9,14,16
3,4,1,2,10,3,0,6
1,3,3,1,6,1,2,5
4,0,1,4,42,31,10,11
1,0,3,4,54,5,39,48
1,4,4,1,24,1,5,24
1,3,4,4,35,12,16,21
3,2,2,1,17,5,4,11
0,1,1,1,29,7,8,23
2,2,3,2,33,9,4,24
4,0,2,2,35,25,0,10
3,0,1,3,36,24,2,13
3,1,4,4,47,15,27,32
0,2,4,2,31,4,6,25
4,1,2,1,37,26,0,12
1,3,3,3,12,3,3,8
1,3,2,2,19,2,5,18
2,4,4,1,18,6,2,13
4,3,4,1,22,24,0,1
1,0,3,4,61,12,34,48
4,0,2,0,39,31,3,9
4,4,2,0,13,9,1,4
2,0,4,1,71,19,9,52
2,0,4,1,80,27,12,54
2,1,1,4,24,10,11,14
0,2,4,0,28,1,3,26
2,1,4,3,26,9,5,18
2,1,4,4,45,10,31,34
3,1,3,3,30,6,14,24
4,4,0,1,3,2,3,0
2,2,0,3,7,4,1,3
2,4,4,3,17,11,2,6
0,2,2,0,32,0,5,33
1,3,0,4,4,1,1,2
4,4,0,0,4,4,2,0
2,2,1,2,10,3,2,8
1,0,1,3,27,12,6,12
0,3,3,1,11,3,3,7
2,0,4,3,66,18,19,50
0,4,3,4,25,7,14,17
2,1,1,4,13,5,5,8
4,2,4,3,24,11,6,12
1,4,0,1,0,0,0,1
2,1,1,0,16,4,0,10
4,3,2,1,4,2,3,1
0,1,0,3,11,1,1,10
4,2,0,3,6,1,2,4
3,1,3,4,18,2,10,14
0,1,0,1,2,0,2,2
2,0,3,3,77,32,19,43
4,4,3,2,12,18,2,1
4,4,4,4,27,28,1,0
3,1,4,1,28,20,0,8
1,3,1,2,11,4,4,6
0,2,1,4,13,3,8,10
3,4,3,2,5,1,2,5
1,0,0,0,12,1,4,11
2,4,4,2,11,1,4,9
1,0,2,0,33,10,5,22
2,2,0,2,6,2,0,3
1,2,2,2,8,0,0,6
1,0,2,2,66,9,15,56
4,0,0,2,27,22,2,7
2,2,0,1,7,0,5,7
0,4,1,0,11,2,3,9
1,4,1,4,8,0,10,8
1,0,0,4,14,3,9,9
1,1,2,3,36,8,16,26
2,3,0,2,4,0,3,3
1,2,4,0,8,1,2,8
0,3,1,2,9,1,2,5
4,4,4,1,13,19,0,0
2,1,2,0,18,10,4,7
1,3,0,0,0,0,2,2
3,1,3,4,20,1,13,18
1,3,1,1,3,1,2,1
4,3,4,0,15,10,2,4
1,3,3,3,21,4,6,18
2,2,2,1,10,5,3,4
4,3,2,2,10,6,0,5
1,3,1,2,4,0,2,4
4,2,0,1,5,3,1,2
2,4,2,2,21,3,10,19
0,3,1,0,11,2,0,8
1,4,1,2,13,2,1,10
4,1,4,1,38,31,0,7
2,0,4,0,70,13,8,55
0,2,0,3,5,0,4,7
4,0,2,2,48,40,0,7
3,3,0,1,6,1,4,5
2,3,1,0,10,3,1,6
4,0,4,2,61,58,5,1
1,4,2,4,6,0,3,6
1,4,3,4,10,2,7,9
4,3,0,2,5,3,1,2
0,3,1,3,1,1,3,1
1,0,0,1,20,7,3,13
1,3,0,1,4,1,4,4
0,1,2,3,14,2,5,12
4,0,3,2,59,49,7,9
2,3,2,1,15,1,1,12
0,1,4,1,29,6,4,23
2,1,4,4,26,12,13,14
4,4,3,1,12,15,3,0
0,3,2,2,10,2,0,8
3,1,0,3,7,4,1,2
4,0,2,3,39,27,5,11
4,4,4,2,19,24,2,0
4,4,0,1,5,5,1,0
2,1,2,1,39,11,6,27
1,0,3,2,53,13,10,39
1,2,2,1,6,0,1,5
0,4,2,4,7,1,3,4
4,2,0,1,9,14,1,1
3,3,3,2,13,4,4,7
4,1,4,4,26,23,2,3
4,0,4,3,78,65,3,11
1,0,4,3,80,21,25,58
3,1,0,4,8,4,3,5
4,0,2,4,42,37,7,6
2,3,1,0,4,1,2,3
3,4,4,4,5,2,1,4
4,1,4,1,42,30,3,10
3,1,2,1,19,12,0,7
0,4,2,0,3,1,4,1
0,0,2,1,48,10,10,39
3,4,4,1,18,6,2,11
4,4,2,1,11,8,1,3
0,4,4,2,25,8,3,16
3,2,3,1,39,18,1,20
4,1,1,2,17,8,3,8
3,1,4,3,27,15,4,13
0,3,3,1,16,2,7,15
0,4,2,0,11,1,2,11
3,0,1,0,22,4,0,16
4,4,4,2,11,14,2,1
3,2,1,0,7,1,1,5
4,3,2,3,10,9,1,1
3,0,1,2,37,20,4,18
4,2,0,4,7,3,4,4
1,3,1,4,8,0,4,8
4,3,2,2,6,6,6,0
4,2,4,1,32,32,2,0
4,1,0,3,5,2,0,1
3,4,4,4,9,4,2,3
3,0,0,3,18,11,1,6
3,0,1,1,13,6,1,7
3,0,4,4,83,31,44,52
4,1,3,3,29,27,0,2
2,2,4,1,24,8,2,14
3,1,0,0,13,2,3,10
2,2,0,3,7,1,4,5
2,3,0,3,2,0,1,2
0,0,3,2,72,22,17,48
0,2,1,3,24,6,9,19
4,4,2,0,1,2,2,2
1,0,0,0,21,5,4,15
2,1,3,2,17,8,2,9
2,0,1,2,39,5,8,33
3,4,0,1,0,0,1,0
4,1,2,1,39,31,3,8
2,4,0,0,2,1,1,0
3,4,1,4,4,2,0,2
4,1,0,3,8,7,3,1
0,3,4,3,22,6,6,15
1,4,0,0,3,1,0,3
4,0,2,2,59,43,2,15
3,2,0,0,5,0,3,7
4,2,3,2,20,18,0,0
4,3,0,1,2,2,1,2
3,1,2,0,27,21,2,9
0,0,4,0,79,19,13,59
0,2,2,1,17,3,2,12
3,4,4,0,17,10,0,6
1,2,3,2,13,0,4,13
0,0,2,0,43,9,4,34
4,1,2,4,33,24,4,9
0,2,3,1,16,5,1,12
4,4,0,3,5,3,1,2
2,0,3,0,64,23,5,40
0,3,3,0,16,1,0,15
1,1,1,1,16,0,6,16
3,1,1,1,2,2,2,1
2,0,4,3,79,22,25,57
0,4,4,2,10,1,3,8
2,2,2,2,21,8,5,13
0,4,1,0,4,0,2,2
1,2,2,2,23,3,5,19
1,0,4,3,68,14,24,54
3,2,3,3,25,17,8,8
0,0,4,1,66,15,9,50
1,0,0,0,18,4,2,13
4,4,0,4,3,2,0,0
2,2,4,2,14,3,3,11
0,0,2,0,55,13,5,41
1,3,0,2,4,1,0,3
1,2,3,1,14,4,4,8
2,2,2,3,5,0,3,5
3,1,3,3,33,19,9,15
0,4,1,4,6,1,2,6
4,4,0,4,5,3,3,1
4,2,2,2,14,9,1,5
4,0,1,1,27,20,0,4
1,3,0,4,2,1,1,3
0,4,4,2,17,4,6,13
3,3,3,2,5,1,2,3
3,1,3,2,19,17,3,2
4,0,4,1,69,49,4,18
2,3,3,1,24,1,4,21
3,2,1,2,19,13,0,5
3,2,4,1,41,19,8,22
3,4,3,3,16,6,4,11
1,0,1,2,32,8,6,23
0,0,4,4,83,20,53,63
3,2,4,4,19,5,12,15
1,3,3,0,6,1,1,3
0,0,0,2,21,5,8,16
3,0,2,1,46,16,6,31
3,3,0,1,2,0,2,2
2,4,2,3,9,0,1,7
0,0,1,2,11,2,0,8
2,1,0,2,4,0,0,4
3,0,0,1,9,4,0,4
4,4,2,0,14,9,1,4
0,4,4,0,18,5,1,12
4,2,1,0,9,8,0,0
4,3,0,3,1,0,2,0
1,4,0,3,3,1,4,2
0,3,1,2,3,1,1,1
0,1,1,2,12,2,6,10
0,1,4,3,52,12,18,39
0,4,1,1,8,3,4,3
1,0,4,2,91,26,20,65
4,1,1,1,13,8,1,4
1,0,2,2,40,15,7,24
2,1,1,0,12,1,0,10
0,4,4,3,19,4,9,13
1,2,4,3,28,10,5,17
4,1,0,4,4,4,2,1
3,1,2,4,41,16,19,24
2,2,1,4,7,2,0,3
1,1,0,0,13,3,1,10
0,1,2,3,18,5,7,12
2,2,0,4,2,0,2,2
2,0,2,4,55,25,23,29
4,3,1,0,12,8,3,5
0,1,4,1,42,6,7,37
2,0,2,2,33,1,8,31
2,0,4,0,87,29,11,58
0,1,3,4,31,7,17,23
0,4,3,2,2,1,3,0
4,1,3,1,19,15,0,4
0,3,0,3,2,0,2,2
1,4,3,2,9,1,2,9
2,0,2,3,58,19,15,40
1,0,4,1,85,17,24,69
4,3,3,4,2,0,1,2
0,4,2,1,8,2,0,5
0,4,0,0,3,1,2,2
4,1,0,4,5,2,1,3
3,2,3,3,23,5,10,17
3,2,2,1,20,8,3,10
3,2,3,3,32,22,3,10
3,2,1,0,16,9,1,5
3,3,2,3,21,5,6,17
0,4,1,0,10,2,3,9
4,1,2,2,7,7,2,0
1,0,0,4,19,1,14,17
0,2,3,3,7,1,2,5
2,0,1,4,37,10,24,29
0,4,3,0,13,3,3,8
1,3,2,3,7,1,6,7
0,3,0,4,4,1,4,5
0,1,0,1,13,1,3,12
3,1,2,1,25,7,5,18
2,3,1,1,9,4,2,6
4,3,0,2,3,1,1,3
3,2,2,1,18,8,0,9
3,1,0,0,9,10,2,1
3,2,1,3,17,14,0,3
3,1,3,2,42,22,9,20
4,3,0,3,3,3,1,2
1,4,2,3,9,2,4,4
2,4,1,0,8,3,0,3
4,0,0,2,15,14,1,2
1,0,1,0,35,14,3,20
1,3,3,4,12,3,6,8
2,1,1,1,5,2,1,2
2,0,1,3,23,8,7,16
4,1,0,3,8,12,2,0
0,3,2,0,7,1,1,7
2,4,2,3,11,0,1,8
0,1,1,2,19,2,7,17
2,2,0,3,9,4,1,2
4,4,0,2,1,2,1,0
1,2,3,2,16,4,2,13
4,0,4,2,58,51,1,8
3,4,0,2,0,0,3,1
